best_params,"{'eps': 0.42, 'metric': <function clustering_distance_metrics at 0x0000020211F8C040>, 'min_samples': 1}"
best_score,0.9543084601224225
best_labels,"[0 0 0 1 1 2 3 1 1 0 0 0 1 0 3 1 3 0 0 4 1 1 3 3 3 4 3 1 3 3 5 3 0 1 3 3 2
 4 1 5 3 1 0 1 3 4]"
Cluster Label,IDs
0,"['090', '0C6', '12E', '242', '29A', '29C', '2B7', '352', '354', '5D7', '666']"
1,"['186', '18A', '1F6', '217', '2A9', '2C6', '41A', '41D', '511', '5DA', '648', '65C', '66A']"
2,"['1A0', '62B']"
3,"['1B0', '2BC', '350', '45C', '4AC', '4DE', '500', '552', '55D', '575', '5DE', '5DF', '657', '69F']"
4,"['3B7', '4F8', '646', '6FB']"
5,"['564', '653']"
