best_params,"{'eps': 0.81, 'metric': <function clustering_distance_metrics at 0x0000020211F8C040>, 'min_samples': 1}"
best_score,0.8965591498458257
best_labels,"[0 0 0 1 2 1 3 4 5 3 3 3 3 1 1 1 1 1 1 1 3 3 3 2 3 3 5 3 3 1 3 3 5 5 3 3 3
 5 5 5 5 0 1 5 3 5]"
Cluster Label,IDs
0,"['023', '04A', '04B', '460']"
1,"['073', '090', '20E', '20F', '211', '212', '213', '215', '216', '2C3', '4B0']"
2,"['080', '240']"
3,"['0FD', '200', '201', '203', '205', '228', '231', '232', '261', '268', '280', '2BA', '360', '364', '420', '424', '428', '4F1']"
4,['150']
5,"['190', '275', '400', '405', '430', '432', '433', '455', '4E3', '4F2']"
