best_params,"{'eps': 0.79, 'metric': <function clustering_distance_metrics at 0x0000020211F8C040>, 'min_samples': 1}"
best_score,0.9230240930334757
best_labels,"[0 0 1 1 2 2 2 1 3 2 3 2 2 3 0 1 1 2 2 2 2 4 5 1 4 4 4 4 2 2 2 4 2 2 6 5 5
 4 2 2]"
Cluster Label,IDs
0,"['043', '044', '383']"
1,"['153', '164', '220', '386', '387', '507']"
2,"['18F', '1BF', '200', '260', '316', '329', '492', '4E5', '4E6', '4E7', '545', '547', '549', '556', '557', '5CE', '5CF']"
3,"['251', '2B0', '381']"
4,"['4F1', '50C', '50E', '52A', '541', '553', '5B0']"
5,"['500', '5A0', '5A1']"
6,['593']
