-------vehicle-------     --------model--------     train_num     test_num     train_time(s)     test_time(s)     per_train_time(us)     per_test_time(us)     model_size(byte)     accuracy     precision     recall     f1_score     
Dacia Duster              Baseline                  4469          4473         11.764319         13.327857        2632.427706            2979.623693           1567                 1.0          1.0           1.0        1.0          
Dacia Duster              ECUPrint                  4469          4473         1.079792          0.881451         241.618264             197.060285            1567                 1.0          1.0           1.0        1.0          
Dacia Duster              VInspector                4469          4473         0.550989          0.313738         123.291321             70.140315             1648                 1.0          1.0           1.0        1.0          
Dacia Logan               Baseline                  15639         15658        40.786113         41.538568        2607.974458            2652.865517           2335                 1.0          1.0           1.0        1.0          
Dacia Logan               ECUPrint                  15639         15658        2.756824          2.846856         176.278761             181.814814            2543                 0.999936     0.999936      0.999936   0.999936     
Dacia Logan               VInspector                15639         15658        2.310994          1.164405         147.771192             74.364838             2416                 1.0          1.0           1.0        1.0          
Ford Ecosport             Baseline                  10006         10038        27.124631         26.240287        2710.836591            2614.095145           1791                 1.0          1.0           1.0        1.0          
Ford Ecosport             ECUPrint                  10006         10038        1.779907          1.9192           177.883921             191.193435            1791                 1.0          1.0           1.0        1.0          
Ford Ecosport             VInspector                10006         10038        1.497432          0.818368         149.653407             81.527017             1872                 1.0          1.0           1.0        1.0          
Ford Fiesta               Baseline                  5525          5539         14.778875         13.873965        2674.909436            2504.777986           3327                 0.999278     0.999278      0.999278   0.999278     
Ford Fiesta               ECUPrint                  5525          5539         1.262187          0.927974         228.450093             167.534484            4223                 0.998736     0.998736      0.998736   0.998736     
Ford Fiesta               VInspector                5525          5539         0.912855          0.362751         165.222651             65.490342             3408                 0.998736     0.998736      0.998736   0.998736     
Ford Kuga                 Baseline                  13997         14027        36.604753         42.007497        2615.185578            2994.759914           54082                0.99059      0.99059       0.99059    0.99059      
Ford Kuga                 ECUPrint                  13997         14027        3.320494          3.253885         237.228956             231.972966            22975                0.995794     0.995794      0.995794   0.995794     
Ford Kuga                 VInspector                13997         14027        4.248339          1.480014         303.517855             105.511822            10384                0.997505     0.997505      0.997505   0.997505     
Honda Civic               Baseline                  7274          7293         20.268319         18.542015        2786.406194            2542.439989           17439                0.991636     0.991636      0.991636   0.991636     
Honda Civic               ECUPrint                  7274          7293         1.226315          1.166095         168.588747             159.892398            11391                0.997121     0.997121      0.997121   0.997121     
Honda Civic               VInspector                7274          7293         1.942125          0.540214         266.995475             74.072988             9008                 0.996572     0.996572      0.996572   0.996572     
Hyundai i20               Baseline                  8875          8892         26.150555         22.856823        2946.541397            2570.492938           3327                 0.995951     0.995951      0.995951   0.995951     
Hyundai i20               ECUPrint                  8875          8892         1.505509          1.620384         169.634779             182.229364            3327                 0.998875     0.998875      0.998875   0.998875     
Hyundai i20               VInspector                8875          8892         1.448652          0.644207         163.228398             72.447984             2736                 0.999775     0.999775      0.999775   0.999775     
Hyundai ix35              Baseline                  9925          9931         27.05074          25.060678        2725.515318            2523.479811           4831                 0.990233     0.990233      0.990233   0.990233     
Hyundai ix35              ECUPrint                  9925          9931         1.766117          1.831901         177.946307             184.462853            3999                 0.99849      0.99849       0.99849    0.99849      
Hyundai ix35              VInspector                9925          9931         1.862415          0.693408         187.648826             69.822601             4080                 0.996677     0.996677      0.996677   0.996677     
John Deere Tractor        Baseline                  1980          1993         5.112782          4.999098         2582.213373            2508.3283             8127                 0.967888     0.967888      0.967888   0.967888     
John Deere Tractor        ECUPrint                  1980          1993         0.472561          0.425523         238.666992             213.508802            1567                 0.998996     0.998996      0.998996   0.998996     
John Deere Tractor        VInspector                1980          1993         0.45713           0.163842         230.873835             82.208951             3088                 0.996989     0.996989      0.996989   0.996989     
Opel Corsa                Baseline                  4561          4570         11.511084         11.06037         2523.80713             2420.212247           1791                 1.0          1.0           1.0        1.0          
Opel Corsa                ECUPrint                  4561          4570         0.771901          0.944374         169.239398             206.646356            1791                 0.999781     0.999781      0.999781   0.999781     
Opel Corsa                VInspector                4561          4570         0.700199          0.317348         153.518669             69.441472             1872                 1.0          1.0           1.0        1.0          
