-------vehicle-------     --------model--------     train_num     test_num     train_time(s)     test_time(s)     per_train_time(us)     per_test_time(us)     model_size(byte)     accuracy     precision     recall     f1_score     
Dacia Duster              Baseline                  4541          4545         3.263137          3.219549         718.594437             708.371552            1027                 1.0          1.0           1.0        1.0          
Dacia Duster              ECUPrint                  4541          4545         0.474027          0.401595         104.388328             88.359709             907                  0.99956      0.99956       0.99956    0.99956      
Dacia Duster              VInspectorLR              4541          4545         0.580402          0.266333         127.813727             58.59909              5694                 1.0          1.0           1.0        1.0          
Dacia Duster              BaselineOptimization      4541          4545         3.142669          3.102824         692.065396             682.689543            8769                 1.0          1.0           1.0        1.0          
Dacia Duster              ECUPrintOptimization      4541          4545         0.412394          0.38501          90.815637              84.710777             8929                 1.0          1.0           1.0        1.0          
Dacia Duster              VInspector                4541          4545         0.374786          0.270399         82.533834              59.493698             8838                 1.0          1.0           1.0        1.0          
Dacia Duster              VInspectorGradient        4541          4545         0.343875          0.321813         75.726645              70.805912             8846                 1.0          1.0           1.0        1.0          
Dacia Logan               Baseline                  15780         15799        12.410586         11.675644        786.475643             739.011578            1291                 0.998354     0.998354      0.998354   0.998354     
Dacia Logan               ECUPrint                  15780         15799        3.914962          1.813128         248.09647              114.76217             1051                 0.970378     0.970378      0.970378   0.970378     
Dacia Logan               VInspectorLR              15780         15799        17.521659         0.938191         1110.371271            59.382932             10542                0.996455     0.996455      0.996455   0.996455     
Dacia Logan               BaselineOptimization      15780         15799        11.089462         11.054208        702.754233             699.677719            20217                1.0          1.0           1.0        1.0          
Dacia Logan               ECUPrintOptimization      15780         15799        1.397921          1.370155         88.588155              86.724151             22297                1.0          1.0           1.0        1.0          
Dacia Logan               VInspector                15780         15799        1.362967          0.989519         86.373098              62.631741             16542                1.0          1.0           1.0        1.0          
Dacia Logan               VInspectorGradient        15780         15799        1.170405          0.935051         74.170177              59.184202             21750                1.0          1.0           1.0        1.0          
Ford Ecosport             Baseline                  11387         11421        8.335561          7.752706         732.024308             678.811471            1115                 1.0          1.0           1.0        1.0          
Ford Ecosport             ECUPrint                  11387         11421        1.353569          0.988414         118.869679             86.543564             955                  0.997198     0.997198      0.997198   0.997198     
Ford Ecosport             VInspectorLR              11387         11421        5.914616          0.664488         519.418273             58.181252             7310                 1.0          1.0           1.0        1.0          
Ford Ecosport             BaselineOptimization      11387         11421        7.681574          7.657661         674.591582             670.489554            11369                1.0          1.0           1.0        1.0          
Ford Ecosport             ECUPrintOptimization      11387         11421        0.989627          0.916419         86.908482              80.239845             15241                1.0          1.0           1.0        1.0          
Ford Ecosport             VInspector                11387         11421        0.898327          0.673092         78.890545              58.934626             11086                1.0          1.0           1.0        1.0          
